"word","freq"
"government",15
"students",14
"university",14
"japan",13
"japanese",12
"political",12
"women",11
"forest",10
"like",10
"teachers",10
"universities",10
"academic",9
"commission",9
"yunus",9
"economic",8
"education",8
"one",8
"rights",8
"adviser",7
"can",7
"chief",7
"daily",7
"groups",7
"must",7
"rangamati",7
"two",7
"world",7
"acres",6
"case",6
"freedom",6
"future",6
"got",6
"interim",6
"ishiba",6
"last",6
"mostly",6
"part",6
"reported",6
"star",6
"support",6
"according",5
"administration",5
"authorities",5
"bnp",5
"change",5
"countries",5
"dhaka",5
"doe",5
"even",5
"happen",5
"individuals",5
"institutions",5
"latest",5
"leader",5
"may",5
"nation",5
"new",5
"opinion",5
"prof",5
"public",5
"religion",5
"saw",5
"stop",5
"success",5
"vcs",5
"years",5
"action",4
"answer",4
"article",4
"classes",4
"continued",4
"department",4
"efforts",4
"environment",4
"equal",4
"ever",4
"filed",4
"follow",4
"land",4
"least",4
"now",4
"open",4
"partnership",4
"pass",4
"recommendations",4
"reform",4
"regime",4
"remove",4
"set",4
"shrimp",4
"sonadia",4
"started",4
"taken",4
"talk",4
"time",4
"actions",3
"already",3
"always",3
"appointed",3
"area",3
"asked",3
"assistance",3
"august",3
"bangladeshi",3
"business",3
"came",3
"certain",3
"chattogram",3
"cleared",3
"commissions",3
"country",3
"decided",3
"ensure",3
"ensuring",3
"every",3
"fear",3
"free",3
"friday",3
"grabbers",3
"grabbing",3
"hasina",3
"high",3
"highway",3
"immediately",3
"including",3
"indo",3
"inheritance",3
"invest",3
"island",3
"july",3
"landslides",3
"legal",3
"made",3
"mangrove",3
"months",3
"national",3
"nations",3
"office",3
"pacific",3
"power",3
"provided",3
"recently",3
"relevant",3
"report",3
"reportedly",3
"resources",3
"road",3
"see",3
"several",3
"south",3
"spent",3
"student",3
"teams",3
"technology",3
"temporarily",3
"tokyo",3
"transition",3
"use",3
"various",3
"vice",3
"visit",3
"way",3
"whose",3
"working",3
"youth",3
"absence",2
"access",2
"across",2
"activities",2
"administrative",2
"advanced",2
"affairs",2
"affected",2
"ago",2
"agreement",2
"almost",2
"along",2
"analyses",2
"appointments",2
"artificial",2
"attacked",2
"away",2
"backbone",2
"based",2
"bridge",2
"called",2
"career",2
"chance",2
"changes",2
"chattagram",2
"china",2
"chinese",2
"college",2
"combat",2
"come",2
"commentaries",2
"commitment",2
"concerned",2
"conclude",2
"consequences",2
"construction",2
"contribute",2
"contribution",2
"cooperation",2
"course",2
"court",2
"crab",2
"create",2
"critical",2
"crucial",2
"culture",2
"days",2
"debris",2
"deepseek",2
"demand",2
"demanding",2
"democracy",2
"democratic",2
"destruction",2
"didn",2
"discrimination",2
"dismissal",2
"due",2
"duty",2
"easily",2
"editor",2
"effort",2
"emboldened",2
"encroachment",2
"endeavour",2
"engineering",2
"enjoy",2
"especially",2
"evidence",2
"experts",2
"expressed",2
"expression",2
"face",2
"facebook",2
"fall",2
"famous",2
"far",2
"farming",2
"field",2
"fire",2
"focus",2
"foreign",2
"four",2
"fully",2
"get",2
"girls",2
"given",2
"group",2
"guidelines",2
"halting",2
"hate",2
"hatred",2
"hefazat",2
"held",2
"however",2
"huge",2
"illegal",2
"incidents",2
"included",2
"independence",2
"intelligence",2
"inventing",2
"know",2
"korea",2
"lane",2
"lead",2
"leaders",2
"leadership",2
"led",2
"left",2
"letter",2
"light",2
"linked",2
"lives",2
"local",2
"management",2
"matter",2
"members",2
"men",2
"merely",2
"minister",2
"muhammad",2
"nearly",2
"necessary",2
"never",2
"official",2
"officials",2
"online",2
"opinions",2
"osd",2
"parties",2
"pave",2
"politicised",2
"politics",2
"prepared",2
"preparing",2
"press",2
"prime",2
"priorities",2
"priority",2
"pro",2
"professionals",2
"publicly",2
"quality",2
"rainfall",2
"rallies",2
"rather",2
"real",2
"recorded",2
"recruitment",2
"regardless",2
"region",2
"remain",2
"reports",2
"research",2
"resumed",2
"return",2
"safety",2
"say",2
"saying",2
"scholar",2
"scholarships",2
"school",2
"seek",2
"seems",2
"seizing",2
"sense",2
"sheets",2
"sheikh",2
"shigeru",2
"shows",2
"silence",2
"since",2
"situation",2
"soon",2
"sought",2
"stability",2
"stand",2
"statement",2
"steel",2
"strength",2
"studies",2
"submission",2
"succeed",2
"surprised",2
"swiftly",2
"system",2
"systems",2
"taiwan",2
"take",2
"teacher",2
"ten",2
"terminal",2
"though",2
"thought",2
"three",2
"today",2
"took",2
"top",2
"total",2
"trade",2
"uphold",2
"uprising",2
"ups",2
"upstaging",2
"urged",2
"vietnam",2
"views",2
"voices",2
"well",2
"whole",2
"writing",2
"yet",2
"young",2
"aasha",1
"ability",1
"abyss",1
"accepted",1
"accessibility",1
"accommodate",1
"accordingly",1
"achieved",1
"acquiescence",1
"act",1
"active",1
"actively",1
"activists",1
"actual",1
"actually",1
"addressed",1
"advocated",1
"agenda",1
"agitating",1
"aimed",1
"akhtaruzzaman",1
"alarmingly",1
"alice",1
"aligning",1
"allocated",1
"amanullah",1
"amin",1
"among",1
"amplifying",1
"anam",1
"announced",1
"answers",1
"anybody",1
"anything",1
"apart",1
"apply",1
"ardently",1
"areas",1
"asm",1
"aspect",1
"assess",1
"assistant",1
"association",1
"assured",1
"attack",1
"author",1
"authority",1
"auto",1
"automatic",1
"automobiles",1
"awaits",1
"awarded",1
"back",1
"baffling",1
"bangla",1
"bank",1
"bankrupt",1
"bankruptcy",1
"bare",1
"barishal",1
"batch",1
"bay",1
"bazar",1
"became",1
"become",1
"bengal",1
"best",1
"beza",1
"bhedbhedi",1
"bilateral",1
"billions",1
"blatant",1
"blending",1
"blocking",1
"bloody",1
"bodies",1
"book",1
"boost",1
"born",1
"bottom",1
"brought",1
"building",1
"built",1
"buy",1
"campus",1
"cancellation",1
"cancelled",1
"cases",1
"casualties",1
"caught",1
"century",1
"chain",1
"chairs",1
"chakma",1
"chalked",1
"challenges",1
"champion",1
"chancellor",1
"chancellors",1
"chancellorships",1
"changeover",1
"chaos",1
"chatter",1
"chittagong",1
"chop",1
"citizens",1
"civil",1
"claiming",1
"class",1
"clear",1
"clue",1
"coffer",1
"collapsed",1
"coming",1
"commended",1
"comment",1
"commissioner",1
"committed",1
"committees",1
"competition",1
"completely",1
"complex",1
"compliance",1
"comprehensive",1
"compulsory",1
"computers",1
"concede",1
"concrete",1
"condemnation",1
"conducted",1
"confined",1
"connect",1
"connected",1
"connectivity",1
"consideration",1
"considering",1
"constitution",1
"contentious",1
"context",1
"continues",1
"continuous",1
"contradict",1
"controlled",1
"controlling",1
"convenient",1
"conversations",1
"copy",1
"corner",1
"corruption",1
"covid",1
"cox",1
"created",1
"creating",1
"creative",1
"credentials",1
"crimes",1
"crisis",1
"crumbling",1
"crushing",1
"current",1
"curricula",1
"customary",1
"damaging",1
"dare",1
"decade",1
"deemed",1
"deep",1
"deeply",1
"defence",1
"defy",1
"degree",1
"delight",1
"demanded",1
"demolition",1
"demonstrated",1
"demonstrates",1
"denouncing",1
"deputy",1
"described",1
"despite",1
"destroy",1
"destroyed",1
"destroying",1
"development",1
"devoid",1
"dictatorial",1
"dignity",1
"directing",1
"disappeared",1
"disaster",1
"discussed",1
"discussions",1
"displayed",1
"disposal",1
"disruptions",1
"dissent",1
"distributed",1
"district",1
"division",1
"divisions",1
"dragged",1
"drives",1
"drowning",1
"durable",1
"earlier",1
"easier",1
"east",1
"easy",1
"echelons",1
"eco",1
"ecologically",1
"economy",1
"edits",1
"effective",1
"either",1
"elected",1
"electric",1
"electronics",1
"empty",1
"enamoured",1
"enclosures",1
"encourage",1
"encroached",1
"encroachers",1
"end",1
"ending",1
"energy",1
"engineer",1
"engulfed",1
"enhanced",1
"enterprise",1
"enthusiasm",1
"epitomised",1
"era",1
"establish",1
"establishing",1
"euphemism",1
"evaluation",1
"everyday",1
"exaggerated",1
"examination",1
"examinations",1
"exceptions",1
"executive",1
"expect",1
"expected",1
"expediency",1
"explicitly",1
"expressing",1
"expressway",1
"faces",1
"fact",1
"failed",1
"fairytale",1
"families",1
"favour",1
"felled",1
"figures",1
"final",1
"firm",1
"flourish",1
"flow",1
"focused",1
"followed",1
"following",1
"food",1
"forced",1
"forge",1
"form",1
"former",1
"freefall",1
"friend",1
"friendly",1
"fundamental",1
"gender",1
"geopolitical",1
"getting",1
"give",1
"globe",1
"gomti",1
"grace",1
"graduation",1
"grameen",1
"granted",1
"grants",1
"grateful",1
"great",1
"grip",1
"guards",1
"guise",1
"habib",1
"halt",1
"hard",1
"harsh",1
"head",1
"headed",1
"heads",1
"hear",1
"help",1
"hide",1
"higher",1
"highest",1
"highlighted",1
"highways",1
"history",1
"hits",1
"hold",1
"holding",1
"holdings",1
"hole",1
"hostile",1
"human",1
"humiliating",1
"hundreds",1
"hurtling",1
"identified",1
"imagine",1
"impedes",1
"import",1
"importance",1
"importantly",1
"improvement",1
"inaugurated",1
"inclusive",1
"incomparable",1
"increase",1
"increased",1
"indulgence",1
"industrial",1
"industries",1
"industry",1
"ineffective",1
"influence",1
"initiatives",1
"injuries",1
"injustice",1
"innovation",1
"instance",1
"institution",1
"instructed",1
"instructors",1
"insufficient",1
"intellectually",1
"interpret",1
"intervene",1
"investment",1
"invoke",1
"islam",1
"islamic",1
"issue",1
"issued",1
"issues",1
"jagannath",1
"jahangirnagar",1
"jamaat",1
"jamuna",1
"jeopardise",1
"jeopardising",1
"joint",1
"just",1
"justify",1
"kachhi",1
"khulna",1
"kinds",1
"knowledge",1
"kobe",1
"korean",1
"krishnachura",1
"labour",1
"landslide",1
"language",1
"late",1
"launch",1
"laws",1
"lawsuits",1
"ldc",1
"learn",1
"learning",1
"leave",1
"legitimacy",1
"lender",1
"licence",1
"life",1
"line",1
"lines",1
"links",1
"lng",1
"loan",1
"long",1
"looks",1
"loss",1
"lost",1
"loudly",1
"low",1
"lpg",1
"machinery",1
"magazine",1
"mahfuz",1
"major",1
"make",1
"mammoth",1
"mandate",1
"mangroves",1
"manufacturers",1
"marine",1
"maritime",1
"mark",1
"marks",1
"marma",1
"matarbari",1
"meagre",1
"meanwhile",1
"measures",1
"media",1
"meet",1
"meeting",1
"meetings",1
"meghna",1
"mehreen",1
"mentioned",1
"message",1
"meteorological",1
"micro",1
"minds",1
"minimum",1
"ministries",1
"minor",1
"miserably",1
"misogyny",1
"mistake",1
"mob",1
"mohammad",1
"moheshkhali",1
"moral",1
"moreover",1
"morning",1
"much",1
"multiplied",1
"multipurpose",1
"mutually",1
"nadira",1
"namely",1
"narrative",1
"narratives",1
"narsingdi",1
"navigation",1
"needed",1
"neighbours",1
"none",1
"noted",1
"nothing",1
"notion",1
"november",1
"number",1
"object",1
"observer",1
"obvious",1
"occupy",1
"october",1
"officer",1
"old",1
"onlooker",1
"operational",1
"opportunity",1
"option",1
"order",1
"ordered",1
"organised",1
"original",1
"outburst",1
"overcome",1
"overlook",1
"painstakingly",1
"pakistan",1
"pandemic",1
"papers",1
"park",1
"partisan",1
"parts",1
"past",1
"peace",1
"people",1
"perhaps",1
"permitted",1
"person",1
"personal",1
"personnel",1
"phones",1
"photo",1
"piles",1
"pioneering",1
"plays",1
"pointed",1
"politicians",1
"poor",1
"positions",1
"possibilities",1
"possible",1
"post",1
"posts",1
"poverty",1
"practice",1
"praised",1
"precautions",1
"prepare",1
"presently",1
"pressure",1
"prestigious",1
"previous",1
"principle",1
"printed",1
"privilege",1
"procure",1
"products",1
"professionally",1
"professor",1
"profound",1
"programme",1
"progressive",1
"projects",1
"prominent",1
"promote",1
"promotions",1
"promptly",1
"propaganda",1
"property",1
"proposals",1
"prosperity",1
"prosperous",1
"protect",1
"protected",1
"protests",1
"provide",1
"providing",1
"published",1
"publisher",1
"publishes",1
"punish",1
"punishment",1
"quantum",1
"quiet",1
"quota",1
"rabbit",1
"rage",1
"rain",1
"rajshahi",1
"rally",1
"razed",1
"ready",1
"reality",1
"reason",1
"reassuring",1
"recalled",1
"redoubling",1
"reflected",1
"reflecting",1
"refreshing",1
"refuge",1
"regarded",1
"regarding",1
"regional",1
"reign",1
"reiterated",1
"relations",1
"relationships",1
"release",1
"relentless",1
"religious",1
"removed",1
"replaced",1
"requested",1
"residents",1
"resign",1
"resignation",1
"resigned",1
"respect",1
"respond",1
"restoring",1
"results",1
"returned",1
"reviled",1
"revisions",1
"rewards",1
"rhd",1
"rhetoric",1
"rhetorics",1
"rigour",1
"river",1
"roads",1
"rohingya",1
"role",1
"run",1
"sabuj",1
"sadly",1
"satkhira",1
"scale",1
"sciences",1
"scrapped",1
"seats",1
"secretariat",1
"sections",1
"security",1
"seen",1
"self",1
"senior",1
"september",1
"server",1
"service",1
"serving",1
"shall",1
"shared",1
"shattered",1
"shelters",1
"shockingly",1
"short",1
"shortages",1
"significance",1
"silent",1
"similar",1
"six",1
"skilled",1
"sloganeering",1
"slogans",1
"smaller",1
"smartphones",1
"social",1
"soft",1
"solar",1
"solution",1
"sometimes",1
"somucha",1
"sound",1
"speak",1
"special",1
"spectrum",1
"spew",1
"spheres",1
"stakeholders",1
"stalemate",1
"standard",1
"standards",1
"standing",1
"stands",1
"state",1
"states",1
"station",1
"stemmed",1
"stepping",1
"stern",1
"still",1
"stone",1
"stood",1
"story",1
"streets",1
"strengthen",1
"strict",1
"study",1
"submit",1
"successors",1
"supporting",1
"supreme",1
"surest",1
"sustainable",1
"swift",1
"sycophancy",1
"tacit",1
"taking",1
"tech",1
"technical",1
"textbook",1
"textile",1
"thank",1
"thanked",1
"things",1
"think",1
"thousands",1
"thursday",1
"thus",1
"tied",1
"toeing",1
"together",1
"tougher",1
"tourism",1
"towards",1
"traffic",1
"tragic",1
"training",1
"transfer",1
"transferred",1
"transnational",1
"trash",1
"travels",1
"tree",1
"trees",1
"triggered",1
"truth",1
"tutorials",1
"ullah",1
"unable",1
"undemocratic",1
"unfortunate",1
"unnecessary",1
"unquestionable",1
"unrests",1
"unsafe",1
"unwarranted",1
"unwavering",1
"upazilas",1
"upgradation",1
"upheld",1
"upholding",1
"upload",1
"urge",1
"usher",1
"using",1
"utter",1
"value",1
"variety",1
"vast",1
"vehicles",1
"venom",1
"vent",1
"vicinity",1
"viciously",1
"vilest",1
"violated",1
"violence",1
"vision",1
"vocational",1
"vulnerable",1
"want",1
"wanted",1
"ways",1
"weather",1
"wholesale",1
"widely",1
"willingness",1
"wing",1
"within",1
"without",1
"won",1
"wonder",1
"words",1
"work",1
"workers",1
"workforce",1
"worse",1
"yeasmin",1
"zones",1
